block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,A_HV,p_balance,136,136,0,None,Fixed value
1,A_HV,p_balance,137,137,0,None,Fixed value
1,A_HV,p_balance,138,138,0,None,Fixed value
1,A_HV,p_balance,139,139,0,None,Fixed value
1,A_HV,p_balance,140,140,0,None,Fixed value
1,A_HV,p_balance,141,141,0,None,Fixed value
1,A_HV,p_balance,142,142,0,None,Fixed value
1,A_HV,p_balance,143,143,0,None,Fixed value
1,A_HV,p_balance,144,144,0,None,Fixed value
1,A_HV,p_balance,145,145,0,None,Fixed value
1,A_HV,p_balance,146,146,0,None,Fixed value
1,A_HV,p_balance,147,147,0,None,Fixed value
1,A_HV,p_balance,148,148,0,None,Fixed value
1,A_HV,p_balance,149,149,0,None,Fixed value
1,A_HV,p_balance,150,150,0,None,Fixed value
1,A_HV,p_balance,151,151,0,None,Fixed value
1,A_HV,p_balance,152,152,0,None,Fixed value
1,A_HV,p_balance,153,153,0,None,Fixed value
1,A_HV,p_balance,154,154,0,None,Fixed value
1,A_HV,p_balance,155,155,0,None,Fixed value
1,A_HV,p_balance,156,156,0,None,Fixed value
1,A_HV,p_balance,157,157,0,None,Fixed value
1,A_HV,p_balance,158,158,0,None,Fixed value
1,A_HV,p_balance,159,159,0,None,Fixed value
1,A_HV,p_balance,160,160,0,None,Fixed value
1,A_HV,p_balance,161,161,0,None,Fixed value
1,A_HV,p_balance,162,162,0,None,Fixed value
1,A_HV,p_balance,163,163,0,None,Fixed value
1,A_HV,p_balance,164,164,0,None,Fixed value
1,A_HV,p_balance,165,165,0,None,Fixed value
1,A_HV,p_balance,166,166,0,None,Fixed value
1,A_HV,p_balance,167,167,0,None,Fixed value
1,A_HV,p_balance,168,168,0,None,Fixed value
1,A_HV,q_balance,None,None,None,None,Basic
1,A_HV,theta_port.theta,1,1,0,-0,None
1,A_HV,theta_port.theta,2,2,0,-0,None
1,A_HV,theta_port.theta,3,3,0,-0,None
1,A_HV,theta_port.theta,4,4,0,-0,None
1,A_HV,theta_port.theta,5,5,0,-0,None
1,A_HV,theta_port.theta,6,6,0,-0,None
1,A_HV,theta_port.theta,7,7,0,-0,None
1,A_HV,theta_port.theta,8,8,0,-0,None
1,A_HV,theta_port.theta,9,9,0,-0,None
1,A_HV,theta_port.theta,10,10,0,-0,None
1,A_HV,theta_port.theta,11,11,0,-0,None
1,A_HV,theta_port.theta,12,12,0,-0,None
1,A_HV,theta_port.theta,13,13,0,-0,None
1,A_HV,theta_port.theta,14,14,0,-0,None
1,A_HV,theta_port.theta,15,15,0,-0,None
1,A_HV,theta_port.theta,16,16,0,-0,None
1,A_HV,theta_port.theta,17,17,0,-0,None
1,A_HV,theta_port.theta,18,18,0,-0,None
1,A_HV,theta_port.theta,19,19,0,-0,None
1,A_HV,theta_port.theta,20,20,0,-0,None
1,A_HV,theta_port.theta,21,21,0,-0,None
1,A_HV,theta_port.theta,22,22,0,-0,None
1,A_HV,theta_port.theta,23,23,0,-0,None
1,A_HV,theta_port.theta,24,24,0,-0,None
1,A_HV,theta_port.theta,25,25,0,-0,None
1,A_HV,theta_port.theta,26,26,0,-0,None
1,A_HV,theta_port.theta,27,27,0,-0,None
1,A_HV,theta_port.theta,28,28,0,-0,None
