block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,B,theta,149,149,0,0,Free
1,B,theta,150,150,0,0,Free
1,B,theta,151,151,0,0,Free
1,B,theta,152,152,0,0,Free
1,B,theta,153,153,0,0,Free
1,B,theta,154,154,0,0,Free
1,B,theta,155,155,0,0,Free
1,B,theta,156,156,0,0,Free
1,B,theta,157,157,0,0,Free
1,B,theta,158,158,0,0,Free
1,B,theta,159,159,0,0,Free
1,B,theta,160,160,0,0,Free
1,B,theta,161,161,0,0,Free
1,B,theta,162,162,0,0,Free
1,B,theta,163,163,0,0,Free
1,B,theta,164,164,0,0,Free
1,B,theta,165,165,0,0,Free
1,B,theta,166,166,0,0,Free
1,B,theta,167,167,0,0,Free
1,B,theta,168,168,0,0,Free
1,B,p_balance,1,1,0,None,Fixed value
1,B,p_balance,2,2,0,None,Fixed value
1,B,p_balance,3,3,0,None,Fixed value
1,B,p_balance,4,4,0,None,Fixed value
1,B,p_balance,5,5,0,None,Fixed value
1,B,p_balance,6,6,0,None,Fixed value
1,B,p_balance,7,7,0,None,Fixed value
